sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report
673,Talcher-Bimlagarh 154 km,CAO/C/ECOR ECoR mor,705359,Odisha,2004-03-01,2008-07-01,2025-03-01,2029-03-01,1928.0,4546.84,2164.01,56.0,87,July 2026,FlashReport_July_2026.pdf
674,Bhadrak-Nergundi - 3rd line 80 km,CAO/C/ECOR ECoR mor,705510,Odisha,2012-03-01,2016-09-01,2024-11-01,2026-01-01,1284.0,1600.0,1395.78,87.0,87,July 2026,FlashReport_July_2026.pdf
675,Koraput-Singapur Road 164.56 km,CAO/C/ECOR ECoR mor,705513,Odisha,2015-12-01,2016-01-01,2027-12-01,2028-03-01,2362.0,2462.17,2093.47,56.0,87,July 2026,FlashReport_July_2026.pdf
676,Jarapaada-Budhapank with flyover at Talcher Road - 3rd & 4th line 47 44 km,CAO/C/ECOR ECoR mor,705514,Odisha,2015-11-01,2016-05-01,2018-11-01,2028-03-01,1000.0,928.54,758.57,25.0,87,July 2026,FlashReport_July_2026.pdf
677,Budhapank-Salegaon via Rajatgarh - 3rd & 4th line 85 85 km,CAO/C/ECOR ECoR mor,705515,Odisha,2015-12-01,2016-04-01,2026-03-01,2026-03-01,1173.0,3034.8,2213.72,86.0,87,July 2026,FlashReport_July_2026.pdf
678,Jeypore - Navarangpur 38 km,CAO/C/ECOR ECoR mor,705741,Odisha,2017-07-01,2022-09-01,2028-07-01,2029-12-01,748.0,747.91,15.93,1.0,87,July 2026,FlashReport_July_2026.pdf
679,Jeypore - Malkangiri 130 km,CAO/C/ECOR ECoR mor,705742,Odisha,2018-02-01,2026-04-01,2033-07-01,2033-07-01,2344.0,2343.64,736.58,6.0,87,July 2026,FlashReport_July_2026.pdf
680,North Region Video Surveillance Project,RCIL,705298,PAN India,2020-06-01,2023-04-01,2024-03-01,,274.39,274.39,0.0,48.0,87,July 2026,FlashReport_July_2026.pdf
681,Ludhiana Mullanpur 21Km Doubling Railway project,CAO/C/NR,607653,Punjab,,2022-10-01,2024-06-01,2027-02-01,234.78,234.78,61.39,99.0,88,July 2026,FlashReport_July_2026.pdf
682,Ludhiana-Kila Raipur 19 km with freight line at Gill station,CAOC/NR NR mor,705783,Punjab,2019-03-01,2022-12-01,2025-03-01,2027-02-01,237.64,260.33,108.49,70.0,88,July 2026,FlashReport_July_2026.pdf
683,Nathdwara Mavli - Devgarh Madariya 82.542 km,CAOC/NWR NWR mor,611855,Rajasthan,2023-01-01,2023-08-01,2028-06-01,,968.92,1100.0,816.16,75.0,88,July 2026,FlashReport_July_2026.pdf
684,Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions under WTA 527,WPO/Patna,611929,Rajasthan,2022-09-01,2023-06-01,2024-12-01,,166.86,166.86,0.0,0.0,88,July 2026,FlashReport_July_2026.pdf
685,Pushkar - Merta Katyasani 51.346 km,CAOC/NWR NWR mor,616841,Rajasthan,2024-02-01,2024-08-01,2026-12-01,2028-12-01,799.64,799.64,242.08,7.0,88,July 2026,FlashReport_July_2026.pdf
686,Ajmer-Chanderiya section 178.28 km Umbrella work PB57/2019-20/NR,CAOC/NWR NWR mor,616843,Rajasthan,2024-02-01,2024-09-01,2027-06-01,2028-03-01,1634.79,1634.79,560.17,23.0,88,July 2026,FlashReport_July_2026.pdf
687,SADULPUR - CHURU DOUBLING PROJECT,North Western Railway [NWR],617403,Rajasthan,2024-01-01,2024-01-01,2026-06-01,,468.64,468.64,197.84,95.0,88,July 2026,FlashReport_July_2026.pdf
688,North Western Railway - New line between Ramdevra and Pokhran via Bhairav Gufa - Kailash Tekri 13.38 Km PB30/NR/2025-26,CAOC/NWR NWR mor,617404,Rajasthan,2025-04-01,2026-05-01,2028-03-01,,189.21,189.21,57.31,3.0,88,July 2026,FlashReport_July_2026.pdf
689,Gudha-Thathana Mithri - Construction of dedicated test track for testing and trial of rolling stocks and infrastructure components umbrella work PB23/2018-19/NR,CAOC/NWR NWR mor,705752,Rajasthan,2019-04-01,2019-11-01,2026-11-01,2026-11-01,819.48,540.0,326.2,95.0,88,July 2026,FlashReport_July_2026.pdf
690,Agra Fort-Bandikui Doubling Line Project,CAO/C/NCR,705919,Rajasthan,2022-06-01,2021-02-01,2027-06-01,2027-06-01,1390.0,1390.0,529.92,56.0,88,July 2026,FlashReport_July_2026.pdf
691,Dedicatedtest track for RDSO Phase-2 34 km Umbrella work PB22/2019-20/NR,CAOC/NWR NWR mor,706836,Rajasthan,2021-11-01,2021-11-01,2026-11-01,,466.42,619.19,586.33,98.0,88,July 2026,FlashReport_July_2026.pdf
692,Sawaimadhopur - Bypass line 6.98 km Umbrella work PB57/2019-20/NR,CAOC/NWR NWR mor,706866,Rajasthan,2022-12-01,2024-04-01,2026-03-01,2027-05-01,304.0,239.0,188.07,72.0,88,July 2026,FlashReport_July_2026.pdf
693,Phase II extension of MRTS from Velachery to St Thomas Mount,Ministry of Railways,400280,Tamil Nadu,2007-11-01,2008-11-01,2025-07-01,2025-09-01,734.0,734.01,486.53,99.9,88,July 2026,FlashReport_July_2026.pdf
694,Redevelopment of Chennai Egmore Station,Ministry of Railways,613002,Tamil Nadu,2022-05-01,2022-10-01,2026-03-01,,842.0,842.0,340.0,0.0,88,July 2026,FlashReport_July_2026.pdf
695,Coach Production Factory Upgradation Project,CPM/ICF,705244,Tamil Nadu,2017-12-01,2018-07-01,2021-12-01,,520.0,520.0,192.25,0.0,88,July 2026,FlashReport_July_2026.pdf
696,Madurai-Tuticorin via Aruppukkottai 143.5 km,CAOC/SR SR mor,705489,Tamil Nadu,2011-04-01,2016-06-01,2021-07-01,2031-01-01,601.43,2053.39,351.21,14.0,88,July 2026,FlashReport_July_2026.pdf
697,Railway Manufacturing Unit,RVNL - II,617409,Telangana,2016-07-01,2023-02-01,2026-12-01,2026-03-01,521.36,521.36,492.12,91.0,88,July 2026,FlashReport_July_2026.pdf
698,"Bahraich - Khalilabad via Bhinga, Shravasti, Balrampur, Utraula, Domriyaganj, Mehdawal, Bansi 240.26 km",CAOC/NER NER mor,400204,Uttar Pradesh,2018-10-01,2024-01-01,2030-10-01,2030-10-01,4939.78,4939.78,1671.24,15.0,88,July 2026,FlashReport_July_2026.pdf
699,Sahjanwa - Dohrighat 81.17 km,CAOC/NER NER mor,400205,Uttar Pradesh,2019-08-01,2025-04-01,2029-03-01,2029-03-01,1319.75,1319.75,728.08,1.0,88,July 2026,FlashReport_July_2026.pdf
700,"Varanasi- Pt. Deen Dayal Upadhyaya - Multitracking 15 km, including construction of a new Rail- cum- Road Bridge across Ganga River",CAO/C-II/NR NR mor,617213,Uttar Pradesh,2024-10-01,2025-08-01,2029-10-01,,2464.46,2464.46,109.93,5.0,88,July 2026,FlashReport_July_2026.pdf
701,Anand Nagar - Ghughuli via Maharajganj 53.37 km,CAOC/NER NER mor,617252,Uttar Pradesh,2023-08-01,2026-01-01,2028-03-01,,958.27,1501.1,888.5,12.0,88,July 2026,FlashReport_July_2026.pdf
702,Doubling between Jaunpur Jn - Zaffarabad 6.28 km PB73/2023-24/NR,CAOC/NR NR mor,617370,Uttar Pradesh,2023-03-01,2025-04-01,2027-01-01,,180.66,237.38,78.47,22.0,88,July 2026,FlashReport_July_2026.pdf
703,Burhwal - Gonda - 3rd line 61.72 km,CAOC/NER NER mor,705567,Uttar Pradesh,2017-11-01,2020-04-01,2025-03-01,2026-05-01,1016.0,1307.62,777.21,100.0,89,July 2026,FlashReport_July_2026.pdf
704,Janghai - Pratapgarh - Amethi 87 km,CAO/C-II/NR NR mor,705588,Uttar Pradesh,2017-11-01,2019-03-01,2025-03-01,2026-03-01,722.0,1528.83,1216.52,80.0,89,July 2026,FlashReport_July_2026.pdf
705,Lalitpur - Birari with flyover at Lalitpur 15.80 km,CAO/C/NCR NCR mor,705766,Uttar Pradesh,2017-03-01,2023-03-01,2024-12-01,2026-01-01,304.44,356.1,287.11,85.0,89,July 2026,FlashReport_July_2026.pdf
706,Mughalsarai - Allahabad - 3rd line 150 km,CAO/C/NCR NCR mor,705772,Uttar Pradesh,2019-08-01,2020-12-01,2026-12-01,2027-03-01,2649.0,2649.44,2027.64,77.0,89,July 2026,FlashReport_July_2026.pdf
707,Aligarh-Daud Khan - 3rd line 6.9 km & construction of flyover at Daud Khan,CAO/C/NCR NCR mor,705774,Uttar Pradesh,2019-04-01,2021-02-01,2025-01-01,2027-03-01,758.0,779.49,395.24,87.0,89,July 2026,FlashReport_July_2026.pdf
708,Bhandai - Flyover for Etawah bound down trains 10 km,CAO/C/NCR NCR mor,705777,Uttar Pradesh,2019-04-01,2025-12-01,2026-02-01,2027-02-01,250.18,250.18,146.85,11.0,89,July 2026,FlashReport_July_2026.pdf
709,Bhatni - Aunrihar with electrification 125 km excl Indara - Mau 116.95 km,CMD / RVNL RVNL mor,705780,Uttar Pradesh,2018-03-01,2019-11-01,2024-03-01,2026-06-01,2529.0,2529.46,2295.3,94.0,89,July 2026,FlashReport_July_2026.pdf
710,Barabanki-Malhaur - 3rd & 4th Line 32.84 km,CAO/C-II/NR NR mor,705782,Uttar Pradesh,2019-01-01,2022-08-01,2025-03-01,2026-08-01,407.0,480.13,444.11,77.0,89,July 2026,FlashReport_July_2026.pdf
711,"Kalinarayanpur-Krishnanagar with Krishnanagar-Shantipur-Nabadwipghat - GC, Krishnanagar-Chartala, MM for Krishnanagar-Chapra-NL, Naihati-Ranaghat-3rd line, Nabadwipghat-Nabadwipdham upto BB loop 9.58 km, Ranaghat-Lalgola- strengthening bridge No.2",CAOC/ER ER mor,400247,West Bengal,2015-07-01,2005-12-01,2027-02-01,2028-03-01,1000.0,2153.91,925.7,49.0,89,July 2026,FlashReport_July_2026.pdf
712,"Tarakeswar-Bishnupur with extension upto Dhaniakhali, Arambagh-Irphala, Irphala- Ghatal 11.2 km, Arambagh-Champadanga 23.3 km & Bishnupur-Uparsol 31.8 km and new material modification for Mynapur-Kamarpukur via Birsha 19 km",CAOC/ER ER mor,400273,West Bengal,2001-03-01,2005-03-01,2019-03-01,2026-02-01,1189.0,1878.82,1607.64,75.0,89,July 2026,FlashReport_July_2026.pdf
713,Construction of Balurghat-Hilli new BG Line,Northeast Frontier Railway [NFR],612096,West Bengal,2010-12-01,2010-12-01,2027-03-01,2027-03-01,1209.0,1181.57,518.15,18.0,89,July 2026,FlashReport_July_2026.pdf
714,"Rehabilitation and up-gradation and completion of balance works of the section from Km 107.760 km to 129.445 km After Middle strait to Humphrey, Km 130.600 to 138.300 After Humphrey to Kadamtala of NH-4 Intermediate/2-Lane with hard shoulder in the Union Territory of Andaman & Nicobar Islands on EPC basis Package- IIIA",NHIDCL,619184,Andaman & Nicobar,2018-02-01,2024-03-01,2025-09-01,2026-12-01,207.45,376.48,0.0,81.95,89,July 2026,FlashReport_July_2026.pdf
715,Rehabilitation and up-gradation and completion of balance work of section from Km 155.00 to Km 181.00 End of Jarwa to Rangat of NH -4 Total length 26 Km to Intermediate Lane/2-lane with hard shoulders in the UT of A&N Islands on EPC basis - Package-III.B Balance work,NHIDCL,619185,Andaman & Nicobar,2018-02-01,2024-05-01,2025-10-01,2027-03-01,183.56,333.12,163.63,50.15,89,July 2026,FlashReport_July_2026.pdf
716,Construction of Balance works of Major Bridge over Middle Strait Creek between Km.106.590 to km108.553 of NH-04 connecting South Andaman & Baratang Island in the Union Territory of Andaman & Nicobar Islands on EPC basis,NHIDCL,619186,Andaman & Nicobar,2015-03-01,2024-05-01,2026-02-01,2026-12-01,262.96,371.88,112.15,12.98,89,July 2026,FlashReport_July_2026.pdf
717,"Gudivada Town 2 RoB, and Road improvement NH-165",MoRTH,617984,Andhra Pradesh,2022-03-01,2023-05-01,2025-05-01,2027-03-01,317.22,317.22,158.64,75.2,89,July 2026,FlashReport_July_2026.pdf
718,Widening to two lane with paved shoulders from Km 0/0 to 64/020 Pamarru to Akiveedu,MoRTH,617985,Andhra Pradesh,2020-03-01,2021-11-01,2023-11-01,2027-05-01,529.54,588.65,248.31,74.41,89,July 2026,FlashReport_July_2026.pdf
719,Kurnool/Kadapa Border-Jammalamadugu section of NH-167K i.e. Design Ch. Km 248010 to km 269900 to 2,MoRTH,617986,Andhra Pradesh,2023-03-01,2024-12-01,2026-12-01,2026-12-01,292.63,292.63,0.0,95.77,89,July 2026,FlashReport_July_2026.pdf
720,Nandyala-Kurnool/Kadapa Border section of NH-167K i.e. Km 186/000 to Km 250/000Design Ch.186000 to 248010 to 2LPS,MoRTH,617987,Andhra Pradesh,2024-10-01,2025-09-01,2027-09-01,2027-09-01,691.81,691.81,0.0,49.71,89,July 2026,FlashReport_July_2026.pdf
721,Sangameswaram - Atmakuru section from Km 96 to Km 124 & Velegodu- Nandyal section including Nandyal Bypass from Km 143/6 to 185/9 NH-167K,MoRTH,617988,Andhra Pradesh,2024-10-01,2025-07-01,2027-07-01,2027-07-01,776.17,644.14,0.0,41.98,90,July 2026,FlashReport_July_2026.pdf
722,"Rehabilitation and up-gradation of NH-167 from Km 14/900 to Km70/000 Design Ch. 14/900 to 69/700 Chintakunta to Adoni section to two lane with paved shoulders in the State of Andhra Pradesh under Corridor Approach through Engineering, Procurement",MoRTH,617991,Andhra Pradesh,2016-11-01,2017-05-01,2019-05-01,2026-12-01,290.15,290.15,141.83,91.9,90,July 2026,FlashReport_July_2026.pdf
723,4-laning of Puttaparthi-Koduru Section of NH-342,MoRTH,618013,Andhra Pradesh,2022-10-01,2023-11-01,2025-11-01,2026-08-01,1318.59,909.19,464.06,90.19,90,July 2026,FlashReport_July_2026.pdf
724,Rehabilitation and Up-gradation of existin of road from 2-lane to 2-lane with paved shoulders from km. 0.00 to km 53.590 total length-53.590 km of Raychoti to Vempalli section of NH-440 in the State of Andhra Pradesh on EPC mode.,MoRTH,618037,Andhra Pradesh,2021-12-01,2022-05-01,2024-05-01,2026-09-01,439.82,359.52,213.12,90.2,90,July 2026,FlashReport_July_2026.pdf
725,Gorantla - Hindupur section from Km 120/300 to 165/000 of NH716G in the State of Andhra Pradesh,MoRTH,618052,Andhra Pradesh,2024-10-01,2025-08-01,2027-08-01,2027-08-01,808.7,808.7,0.0,37.7,90,July 2026,FlashReport_July_2026.pdf
726,Muddanur to B. Kothapalli section of NH-716G from Km. 0/000 to Km. 56/500 56.500 Km in the State of Andhra Pradesh on EPC mode Job no. 741,MoRTH,618053,Andhra Pradesh,2024-10-01,2025-08-01,2027-08-01,2027-08-01,1019.97,1019.97,0.0,33.55,90,July 2026,FlashReport_July_2026.pdf
727,Kondamodu to Perecherla Section Design Ch. Km 000 to Km 49917 of NH-167AG to to 4LPS,MoRTH,618101,Andhra Pradesh,2024-10-01,2025-04-01,2027-04-01,2027-04-01,881.61,881.61,0.0,37.95,90,July 2026,FlashReport_July_2026.pdf
728,Rehabilitation and upgradation from Km 22300 to 58635 of MudireddyPalle to Kadapa/Nellore Border via porumamilla Section of NH 167 Two Lane with paved Shoulder in,MoRTH,618103,Andhra Pradesh,2022-03-01,2024-10-01,2026-04-01,2026-07-01,279.29,279.29,168.7,90.33,90,July 2026,FlashReport_July_2026.pdf
729,Rehabilitation and upgradation of NH 326A from km 0/0 to 41/979 excluding km 2/255 to 3/372 and km 36/820 to 38/275 Odisha border to Narasamapeta to two lane with paved Shoulders in the State of Andhra Pradesh under NHO on EPC Mode,MoRTH,618125,Andhra Pradesh,2018-03-01,2018-09-01,2020-03-01,2025-10-01,228.32,228.32,44.94,100.0,90,July 2026,FlashReport_July_2026.pdf
730,Widening of Existing Road to Two Lane with Paved Shoulder Configuration from Km 0.00 to 26.000 & Km 45.200 To 59.622 Of NH 365BB in the State of Andhra Pradesh Under Annual Plan 2023-24 through EPC Mode,MoRTH,618193,Andhra Pradesh,2024-01-01,2025-04-01,2026-12-01,2026-12-01,368.63,368.63,76.12,45.62,90,July 2026,FlashReport_July_2026.pdf
731,Rehabilitation and upgradation of New NH 544DD from design Chainage Km. 56/000 to 102/20 of Kalyandrg - Molakalmuru Section,MoRTH,618194,Andhra Pradesh,2018-03-01,2018-08-01,2020-02-01,2025-09-01,294.13,285.29,312.4,98.52,90,July 2026,FlashReport_July_2026.pdf
732,Rehabilitation and Up-gradation of Dhindi - Digamarru section from Km 126/510 to Km 135/740 of NH -214 New NH -216 and digamarru -Losari section from Km 0/000 tp Km 34/230 of NH-214 A New Nh-216 to two lane with paved shoulder in the state of AP-NH,MoRTH,618236,Andhra Pradesh,2016-02-01,2016-05-01,2018-05-01,2023-11-01,316.06,288.76,222.43,100.0,90,July 2026,FlashReport_July_2026.pdf
733,Rehabilitation and Up-gradation of Thimmapuram to Gurajanapalli section from Km 26/150 to Km 41/161 of NH - 214 New NH - 216 to two lane with paved shoulder in the state of Andhra Pradesh under NHDP-IV,MoRTH,618238,Andhra Pradesh,2016-08-01,2017-01-01,2018-07-01,2026-09-01,350.61,432.91,233.93,98.2,90,July 2026,FlashReport_July_2026.pdf
734,"Rehabilitation & Upgradation of NH214 New NH-216 from Km 34/230 to Km 84/550 Losari to Machavaram Section to two lane with paved shoulder in the state of Andhrapradesh under NHDP-IV through Engineering, Procurement& Construction EPC mode.",MoRTH,618239,Andhra Pradesh,2016-03-01,2016-09-01,2018-09-01,2025-07-01,445.22,459.37,512.79,98.6,90,July 2026,FlashReport_July_2026.pdf
735,Construction of Paderu bypass Km 0000 to Km 13000 of 2- lane with paved shoulder on NH-516E,MoRTH,618254,Andhra Pradesh,2023-03-01,2025-01-01,2026-07-01,2026-12-01,244.43,244.43,21.96,13.0,90,July 2026,FlashReport_July_2026.pdf
736,Two laning with paved shoulders of Lambasingi to Paderusection of NH 516E,MoRTH,618255,Andhra Pradesh,2020-04-01,2023-11-01,2025-11-01,2027-03-01,361.24,358.05,145.94,56.69,90,July 2026,FlashReport_July_2026.pdf
737,"Rehabilitation and Upgradation to 2-lane with paved should ders Sir, configuration of Chaprathipalem to Lambasingi section Km 165500 to Km 205000 of NH-516E in the State of Andhra Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode",MoRTH,618256,Andhra Pradesh,2020-08-01,2022-10-01,2024-10-01,2026-07-01,311.22,311.22,211.05,93.01,90,July 2026,FlashReport_July_2026.pdf
738,Rehabilitation and Upgradation to 2-lane with paved shoulders configuration of Koyyuru to Chaprathipalem section Km 120000 to Km 165500 of NH-516E in the State of Andhra Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode,MoRTH,618257,Andhra Pradesh,2020-08-01,2022-07-01,2024-07-01,2026-07-01,349.29,349.29,264.86,98.09,91,July 2026,FlashReport_July_2026.pdf
739,Construction of i Connecting Road from Z-Morh Tunnel to Zojila Tunnel Road Length 18.475km and ii 14.150 Km long 2-L Bi-directional single tube Zoji-la Tunnel across Zojila Pass on Sonamarg - Kargil section from Km 82 to Km 118 of NH-01 under PMDP,NHIDCL,618412,Andhra Pradesh,2018-01-01,2020-10-01,2026-09-01,2028-02-01,6808.69,6808.69,3574.5,68.8,91,July 2026,FlashReport_July_2026.pdf
740,Bangalore Chennai Expressway Phase-II Pkg-II from km.96.000 to Km 127.000 Baireddypalle to Bangarupalem section,NHAI,618475,Andhra Pradesh,2021-02-01,2023-06-01,2025-06-01,2026-10-01,2548.04,2548.04,1332.41,94.24,91,July 2026,FlashReport_July_2026.pdf
741,Bangalore Chennai Expressway Phase-II Pkg-III from km.127.000 to Km 156.000 Bangarupalem to Gudipala section,NHAI,618476,Andhra Pradesh,2020-11-01,2022-10-01,2024-10-01,2026-08-01,1407.33,1407.33,868.62,99.46,91,July 2026,FlashReport_July_2026.pdf
742,Construction of 6 lane elevated corridor including its approaches from Km. 629880 to Km. 634470 Design Chainage of NH-16 in Ranasthalam Town portion in the state of Andhra Pradesh on EPC Mode under NHO.,NHAI,618524,Andhra Pradesh,2024-07-01,2025-03-01,2027-03-01,2027-08-01,257.98,192.85,55.83,39.1,91,July 2026,FlashReport_July_2026.pdf
743,Construction of flyover at Gammon Junction at Km.903.265 on NH16 including vent at Diwancheruvu junction at Km.902.308 Blackspot ID No.AP03299 in Andhra Pradesh on EPC mode under NHO,NHAI,618525,Andhra Pradesh,2025-03-01,2025-10-01,2027-10-01,2027-10-01,326.61,223.29,43.82,18.9,91,July 2026,FlashReport_July_2026.pdf
744,6L of Gundugolanu Design km 1023.280 to Kalaparru Design km 1050.680 of NH-5 New NH-16,NHAI,618526,Andhra Pradesh,2018-10-01,2020-01-01,2021-07-01,2026-08-01,665.59,665.59,643.95,95.73,91,July 2026,FlashReport_July_2026.pdf
745,6L of Anandapuram Pendurthi Anakapalli Section from km. 681.000 to km. 731.780 of NH-16,NHAI,618579,Andhra Pradesh,2018-01-01,2019-01-01,2021-07-01,2026-08-01,2527.0,2957.25,2376.11,100.0,91,July 2026,FlashReport_July_2026.pdf
746,Nandigama Bypass and Kanchikacherla bypass,NHAI,618629,Andhra Pradesh,2017-11-01,2018-03-01,2019-06-01,2026-09-01,416.07,444.58,387.77,98.47,91,July 2026,FlashReport_July_2026.pdf
747,4L of Kadapa China Orampadu section of NH-716 Package I of Kadapa-Renigunta section,NHAI,618633,Andhra Pradesh,2022-12-01,2026-03-01,2028-03-01,2028-03-01,1732.66,1732.66,106.39,5.01,91,July 2026,FlashReport_July_2026.pdf
748,6L Korlam-Kantakapalle Section of NH-130CD Road from Km 421.100 to Km 445.100 Pkg-3,NHAI,618682,Andhra Pradesh,2021-02-01,2022-02-01,2024-02-01,2026-08-01,1112.7,1127.63,849.98,99.5,91,July 2026,FlashReport_July_2026.pdf
749,Renigunta - Poyya - Naidupeta km 124.60 to km 183.4 of NH 71,NHAI,618700,Andhra Pradesh,2020-03-01,2022-01-01,2024-01-01,2026-09-01,1863.09,2510.14,1677.19,98.6,91,July 2026,FlashReport_July_2026.pdf
750,6L Access Controlled Greenfield Highway from Kodur Ch. 0000 to Vanavolu Ch. 24300 of [NH-544G] Package-1,NHAI,618712,Andhra Pradesh,2023-01-01,2024-02-01,2026-02-01,2027-03-01,912.94,798.25,357.89,87.65,91,July 2026,FlashReport_July_2026.pdf
751,6L Access Controlled Greenfield Highway from Yerragudipadu Ch. 129000 to Audireddipalle Ch. 160000 of [NH 544G] Package-6,NHAI,618713,Andhra Pradesh,2023-02-01,2024-02-01,2026-02-01,2027-11-01,1200.42,1019.69,282.16,47.2,91,July 2026,FlashReport_July_2026.pdf
752,6L Access Controlled Greenfield Highway from Nallacheruvu palli Ch. 96300 to Yerragudipadu Ch. 129000 of [NH-544G] Package-5,NHAI,618714,Andhra Pradesh,2022-02-01,2024-02-01,2026-02-01,2027-06-01,1253.26,1095.78,389.19,67.05,91,July 2026,FlashReport_July_2026.pdf
753,6L Access Controlled Greenfield Highway from Odulapalle Ch. 72000 to Nallacheruvu- palli Ch. 96300 of [NH-544G]Package-4,NHAI,618715,Andhra Pradesh,2023-01-01,2024-02-01,2026-02-01,2027-04-01,1058.9,946.1,403.17,76.97,91,July 2026,FlashReport_July_2026.pdf
754,6L Access Controlled Greenfield Highway from Vankarakunta Ch. 45700 to Odulapalle Ch. 72000 of [NH-544G]Package-3,NHAI,618716,Andhra Pradesh,2022-12-01,2024-03-01,2026-03-01,2027-03-01,992.91,888.07,351.23,77.21,91,July 2026,FlashReport_July_2026.pdf
755,6L Access Controlled Greenfield Highway from Vanavolu Ch. 24300 to Vankarakunta Ch. 45700 of [NH-544G] Package-2,NHAI,618717,Andhra Pradesh,2023-01-01,2024-03-01,2026-03-01,2027-02-01,750.81,626.91,261.4,87.24,91,July 2026,FlashReport_July_2026.pdf
756,6L Access Controlled Greenfield Highway from Kavulakuntla Ch. 196000 to Narayanmpet Ch. 203500Package-09,NHAI,618718,Andhra Pradesh,2023-02-01,2025-02-01,2027-02-01,2027-12-01,1092.18,956.4,242.13,54.56,92,July 2026,FlashReport_July_2026.pdf
757,6L Access Controlled Greenfield Highway from Mallapalle Ch. 176000 to Kavulakuntla Ch. 196000 Package-08,NHAI,618719,Andhra Pradesh,2023-02-01,2024-02-01,2026-02-01,2027-07-01,909.02,751.81,290.04,65.92,92,July 2026,FlashReport_July_2026.pdf
758,6L Access Controlled Greenfield Highway from Audireddipalle Ch. 160000 to Mallapalle Ch. 176000Package-07,NHAI,618720,Andhra Pradesh,2023-02-01,2024-03-01,2026-03-01,2027-04-01,987.1,848.06,338.45,73.78,92,July 2026,FlashReport_July_2026.pdf
